Condition,Conflict,Correct,Duration,Flanker,Position,Stimuli,Trial,prob
0,0,0,2.52143061952,0,0,.,521,0
2,3,1,1.25,2,2,221,520,0.8
0,0,0,2.15231105066,0,0,.,519,0
2,3,3,1.25,2,1,322,518,0.8
0,0,0,2.35562156246,0,0,.,517,0
2,3,2,1.25,3,3,332,516,0.8
0,0,0,2.63954398866,0,0,.,515,0
2,3,3,1.25,1,1,311,514,0.8
0,0,0,2.58407770655,0,0,.,513,0
1,1,1,1.25,0,1,100,512,0.8
0,0,0,2.06638605988,0,0,.,511,0
2,3,2,1.25,3,1,233,510,0.8
0,0,0,2.4135225132,0,0,.,509,0
2,0,1,1.25,2,2,212,508,0.8
0,0,0,2.51196474346,0,0,.,507,0
2,3,3,1.25,2,2,232,506,0.8
0,0,0,2.53890627527,0,0,.,505,0
2,0,3,1.25,1,2,131,504,0.8
0,0,0,2.12554615088,0,0,.,503,0
1,1,1,1.25,0,1,100,502,0.8
0,0,0,2.66269422727,0,0,.,501,0
2,3,1,1.25,3,3,331,500,0.8
0,0,0,2.96764704945,0,0,.,499,0
2,3,2,1.25,1,1,211,498,0.8
0,0,0,2.45526032878,0,0,.,497,0
2,3,1,1.25,3,2,313,496,0.8
0,0,0,2.37986992688,0,0,.,495,0
1,2,2,1.25,0,2,020,494,0.8
0,0,0,2.08527788668,0,0,.,493,0
2,3,1,1.25,3,2,313,492,0.8
0,0,0,2.19465031517,0,0,.,491,0
2,0,1,1.25,2,2,212,490,0.8
0,0,0,2.05198426305,0,0,.,489,0
1,1,3,1.25,0,3,003,488,0.8
0,0,0,2.46514529804,0,0,.,487,0
2,3,1,1.25,2,2,221,486,0.8
0,0,0,2.45207742126,0,0,.,485,0
2,3,3,1.25,1,1,311,484,0.8
0,0,0,2.00218251056,0,0,.,483,0
2,0,3,1.25,1,2,131,482,0.8
0,0,0,2.07732892601,0,0,.,481,0
1,2,2,1.25,0,2,020,480,0.2
0,0,0,2.33513708548,0,0,.,479,0
1,1,1,1.25,0,1,100,478,0.2
0,0,0,2.65237066945,0,0,.,477,0
1,1,2,1.25,0,2,020,476,0.2
0,0,0,2.96998614749,0,0,.,475,0
1,2,3,1.25,0,3,003,474,0.2
0,0,0,2.61844277238,0,0,.,473,0
1,1,2,1.25,0,2,020,472,0.2
0,0,0,2.8191547993,0,0,.,471,0
2,3,2,1.25,1,1,211,470,0.2
0,0,0,2.29125470597,0,0,.,469,0
1,2,1,1.25,0,1,100,468,0.2
0,0,0,2.4751218016,0,0,.,467,0
1,1,2,1.25,0,2,020,466,0.2
0,0,0,2.39504727853,0,0,.,465,0
2,3,2,1.25,1,3,112,464,0.2
0,0,0,2.57625487616,0,0,.,463,0
1,1,1,1.25,0,1,100,462,0.2
0,0,0,2.1505381911,0,0,.,461,0
1,2,3,1.25,0,3,003,460,0.2
0,0,0,2.24051690379,0,0,.,459,0
1,1,2,1.25,0,2,020,458,0.2
0,0,0,2.06145004365,0,0,.,457,0
2,3,1,1.25,3,3,331,456,0.2
0,0,0,2.22175956936,0,0,.,455,0
1,2,1,1.25,0,1,100,454,0.2
0,0,0,2.88472888159,0,0,.,453,0
1,1,1,1.25,0,1,100,452,0.2
0,0,0,2.50493571699,0,0,.,451,0
1,2,2,1.25,0,2,020,450,0.2
0,0,0,2.76238803741,0,0,.,449,0
2,0,1,1.25,2,2,212,448,0.2
0,0,0,2.61246726839,0,0,.,447,0
1,1,3,1.25,0,3,003,446,0.2
0,0,0,2.07778942913,0,0,.,445,0
1,2,3,1.25,0,3,003,444,0.2
0,0,0,2.6980709153,0,0,.,443,0
1,1,2,1.25,0,2,020,442,0.2
0,0,0,2.51679350219,0,0,.,441,0
2,3,3,1.25,1,2,131,440,0.75
0,0,0,2.68397209705,0,0,.,439,0
2,3,2,1.25,1,1,211,438,0.75
0,0,0,2.19338325574,0,0,.,437,0
2,0,3,1.25,2,2,232,436,0.75
0,0,0,2.18627044135,0,0,.,435,0
1,1,3,1.25,0,3,003,434,0.75
0,0,0,2.49298770678,0,0,.,433,0
2,3,2,1.25,3,3,332,432,0.75
0,0,0,2.25807558026,0,0,.,431,0
2,0,3,1.25,1,2,131,430,0.75
0,0,0,2.44638713028,0,0,.,429,0
2,3,2,1.25,1,3,112,428,0.75
0,0,0,2.80471665673,0,0,.,427,0
1,1,3,1.25,0,3,003,426,0.75
0,0,0,2.36360078908,0,0,.,425,0
2,3,2,1.25,1,1,211,424,0.75
0,0,0,2.27570937504,0,0,.,423,0
2,0,3,1.25,1,1,311,422,0.75
0,0,0,2.95336352205,0,0,.,421,0
2,3,1,1.25,3,2,313,420,0.75
0,0,0,2.60405559687,0,0,.,419,0
1,1,1,1.25,0,1,100,418,0.75
0,0,0,2.45002036059,0,0,.,417,0
2,0,3,1.25,2,1,322,416,0.75
0,0,0,2.32007209061,0,0,.,415,0
1,1,3,1.25,0,3,003,414,0.75
0,0,0,2.3237139354,0,0,.,413,0
2,3,2,1.25,3,3,332,412,0.75
0,0,0,2.62427948159,0,0,.,411,0
2,0,3,1.25,2,1,322,410,0.75
0,0,0,2.35510600172,0,0,.,409,0
2,3,2,1.25,3,1,233,408,0.75
0,0,0,2.05800738341,0,0,.,407,0
1,2,1,1.25,0,1,100,406,0.75
0,0,0,2.17474286334,0,0,.,405,0
2,0,1,1.25,2,2,212,404,0.75
0,0,0,2.28167549265,0,0,.,403,0
2,3,1,1.25,3,2,313,402,0.75
0,0,0,2.36264586753,0,0,.,401,0
2,3,3,1.25,2,2,232,400,0.75
0,0,0,2.85199916764,0,0,.,399,0
1,1,1,1.25,0,1,100,398,0.75
0,0,0,2.7509184489,0,0,.,397,0
